[Wed Feb 04 10:02:24.406976 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] === END PAID STATUS CALCULATION ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.406976 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] === DEPOSIT VALUES DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.407510 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] status: Confirmed, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.407510 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] isReservation: FALSE, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.407510 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit from POST: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.407510 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_cash from POST: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.407510 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_g_cash from POST: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.407510 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_maya from POST: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.407510 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_details from POST: 21,890.05 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.407510 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_gcash_ref from POST: NULL, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.408035 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_maya_ref from POST: NULL, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.408035 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] === VALUES FOR DATABASE ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.408035 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_for_db: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.408035 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_cash_for_db: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.408035 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_g_cash_for_db: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.408035 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_maya_for_db: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.408035 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] deposit_details_for_db: 21,890.05 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.408035 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] === END DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.894955 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122] === PAID_STATUS AUTO-UPDATE DEBUG for Booking ID: 1121 ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.894955 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   deposit: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.894955 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   downpayment_amount: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.894955 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   total_amount: 2288.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.895473 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   missing_items_fees: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.895473 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   penalty_amount: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.895473 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   --> Total Payments: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.895473 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   --> Total Charges: 2288.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.895473 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   --> Current paid_status: Unpaid, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:24.895473 2026] [php:notice] [pid 5348:tid 1932] [client ::1:55122]   --> Condition check: totalPayments >= totalCharges ? NO, referer: http://localhost:8080/HMS/Booking.html
