Field	Type	Null	Key	Default	Extra
id	int(11)	NO	PRI	NULL	auto_increment
booking_id	varchar(50)	NO	UNI	NULL	
room_id	varchar(20)	NO	MUL	NULL	
transfer_room_from	varchar(100)	YES		NULL	
transfer_at	datetime	YES		NULL	
room_type	varchar(50)	YES		NULL	
guest_name	varchar(100)	YES		NULL	
contact_no	varchar(20)	YES		NULL	
reason_for_stay	varchar(255)	YES		NULL	
address	text	YES		NULL	
additional_guest	int(11)	YES		0	
additional_pet	int(11)	YES		0	
request	text	YES		NULL	
check_in	datetime	YES		NULL	
check_out	datetime	YES		NULL	
referral_name	varchar(255)	YES		NULL	
supplier	varchar(255)	YES		NULL	
promo	varchar(255)	YES		NULL	
breakfast	varchar(255)	YES		NULL	
payment_status	varchar(50)	YES		NULL	
payment_status_g_cash	text	YES		NULL	
payment_status_maya	text	YES		NULL	
payment_status_cash	text	YES		NULL	
reference_no_g_cash	text	YES		NULL	
reference_no_maya	text	YES		NULL	
reference_no	text	YES		NULL	
additional	text	YES		NULL	
paid_status	varchar(50)	YES		Unpaid	
duration	int(11)	YES		0	
extended_duration	int(11)	YES		0	
duration_unit	enum('hours','night')	YES		hours	
hours	varchar(20)	YES		NULL	
status	enum('Available','Confirming','Confirmed','Reserved','Occupied','Checked Out','Canceled','Extended')	YES	MUL	Available	
cancellation_status	enum('None','Pending','Approved','Rejected')	YES		None	
booking_type	varchar(20)	YES		Walk-in	
room_image	varchar(255)	YES		NULL	
created_at	timestamp	NO		current_timestamp()	
confirmed_at	datetime	YES		NULL	
updated_at	timestamp	NO		current_timestamp()	on update current_timestamp()
hygiene_kit_used	tinyint(1)	YES		0	
hygiene_kit_price	decimal(10,2)	YES		0.00	
total_amount	decimal(12,2)	YES		0.00	
hygiene_kit_inventory_id	int(11)	YES		NULL	
tissue_inventory_id	int(11)	YES		NULL	
tissue_used	int(11)	YES		0	
hygiene_kit_restocked	tinyint(1)	YES		0	
missing_items_fees	decimal(10,2)	YES		0.00	
penalty_amount	decimal(10,2)	YES		0.00	
penalty_list	text	YES		NULL	
missing_items_list	text	YES		NULL	
additional_fees_status	varchar(50)	YES		None	
additional_fees_payment_method	varchar(50)	YES		NULL	
additional_fees_reference_no	varchar(255)	YES		NULL	
additional_fees_paid_date	datetime	YES		NULL	
additional_fees_items	text	YES		NULL	
room_price	decimal(10,2)	YES		0.00	
